Epoch	loss	mean_absolute_error	mean_squared_error
1	0.1216244176030159	0.26660242676734924	0.12151537090539932
2	0.04695475846529007	0.17023085057735443	0.046931229531764984
3	0.044223424047231674	0.16433988511562347	0.044214166700839996
4	0.04308676719665527	0.161067396402359	0.043060481548309326
5	0.04170665144920349	0.15857112407684326	0.041718997061252594
6	0.04052452743053436	0.1549190878868103	0.040530405938625336
7	0.040065426379442215	0.15380313992500305	0.04005306959152222
8	0.0388747937977314	0.15050767362117767	0.03887244313955307
9	0.03891262039542198	0.15016375482082367	0.03889429569244385
10	0.037731826305389404	0.14747928082942963	0.037743519991636276
11	0.037695202976465225	0.14659279584884644	0.03772497549653053
12	0.037471525371074677	0.1467457413673401	0.0374777652323246
13	0.036732908338308334	0.1442973017692566	0.036706604063510895
14	0.03693162277340889	0.1439613252878189	0.036918457597494125
15	0.03595747426152229	0.1423046588897705	0.03595898300409317
16	0.03594302386045456	0.14325496554374695	0.03592102229595184
17	0.03592141717672348	0.14248259365558624	0.03592178598046303
18	0.035709865391254425	0.1418287307024002	0.035715121775865555
19	0.035287827253341675	0.1406150907278061	0.03527989611029625
20	0.03509322553873062	0.14051172137260437	0.035105615854263306
21	0.03475756570696831	0.13866305351257324	0.03474713861942291
22	0.03464609012007713	0.13911399245262146	0.03463252633810043
23	0.0345955416560173	0.13927067816257477	0.03459436073899269
24	0.0342370867729187	0.13833369314670563	0.03422417864203453
25	0.03484371677041054	0.13964341580867767	0.034833334386348724
26	0.033681951463222504	0.13641004264354706	0.033665742725133896
27	0.03390631079673767	0.13760964572429657	0.03390347957611084
28	0.03412587568163872	0.13788732886314392	0.03411657735705376
29	0.03370921313762665	0.13677233457565308	0.033725157380104065
30	0.0330483540892601	0.13486060500144958	0.03304450958967209
31	0.0331009179353714	0.13558100163936615	0.0330873504281044
32	0.032777089625597	0.1344628632068634	0.03277803212404251
33	0.0332215316593647	0.13580532371997833	0.033216625452041626
34	0.032625846564769745	0.13383609056472778	0.03261556103825569
35	0.03241186961531639	0.13347811996936798	0.032431066036224365
36	0.032250043004751205	0.13376305997371674	0.032248593866825104
37	0.0320303775370121	0.13209280371665955	0.03203137591481209
38	0.031894199550151825	0.13309884071350098	0.031898319721221924
39	0.03186066076159477	0.13222432136535645	0.03186134248971939
40	0.03186044096946716	0.13251134753227234	0.03184466063976288
41	0.03099087066948414	0.13021960854530334	0.030992913991212845
42	0.030750786885619164	0.1304258555173874	0.03075549006462097
43	0.03123907558619976	0.13085834681987762	0.0312328040599823
44	0.03081197291612625	0.13031113147735596	0.03079923242330551
45	0.03081700950860977	0.13008904457092285	0.030813394114375114
46	0.031090054661035538	0.13120445609092712	0.031084228307008743
47	0.030769694596529007	0.13033980131149292	0.030772600322961807
48	0.03070288896560669	0.13060736656188965	0.03069208189845085
49	0.0302311722189188	0.12871091067790985	0.03023776039481163
50	0.030110720545053482	0.12873049080371857	0.03012268804013729
51	0.029896851629018784	0.1278001219034195	0.029906874522566795
52	0.030230998992919922	0.12912483513355255	0.030232101678848267
53	0.02957862615585327	0.12736842036247253	0.02956545539200306
54	0.03001401387155056	0.1289520412683487	0.030016526579856873
55	0.029519222676753998	0.1279238760471344	0.029519831761717796
56	0.030277149751782417	0.13011831045150757	0.03028678521513939
57	0.030046746134757996	0.12930656969547272	0.030061807483434677
58	0.02935451827943325	0.1270344853401184	0.02934132143855095
59	0.029276877641677856	0.12746857106685638	0.029271915555000305
60	0.0291393231600523	0.12668535113334656	0.029134798794984818
61	0.02887824736535549	0.1259153038263321	0.028872376307845116
62	0.028569314628839493	0.12532377243041992	0.028570150956511497
63	0.028756532818078995	0.12591899931430817	0.02876020409166813
64	0.028770988807082176	0.12592044472694397	0.02876872569322586
65	0.0282414723187685	0.12492364645004272	0.02826870232820511
66	0.028199873864650726	0.12474439293146133	0.028202584013342857
67	0.028602903708815575	0.12565109133720398	0.02861895225942135
68	0.02856982871890068	0.12580537796020508	0.028560006991028786
69	0.027962766587734222	0.12445985525846481	0.027973007410764694
70	0.027787059545516968	0.12441146373748779	0.0278189554810524
71	0.027475781738758087	0.12301257997751236	0.027479631826281548
72	0.027252506464719772	0.12282166630029678	0.02724905125796795
73	0.02756771445274353	0.12337176501750946	0.02756749652326107
74	0.027609199285507202	0.12335653603076935	0.027605412527918816
75	0.02694573812186718	0.12187416851520538	0.026930680498480797
76	0.02729013003408909	0.12306396663188934	0.027285536751151085
77	0.027294449508190155	0.12289054691791534	0.02729359082877636
78	0.027064833790063858	0.12254414707422256	0.02705732174217701
79	0.02717035450041294	0.12247996032238007	0.02718498557806015
80	0.0264219231903553	0.1206110417842865	0.026415405794978142
81	0.02598731219768524	0.1201261430978775	0.02597867324948311
82	0.026765745133161545	0.1219714879989624	0.02676505595445633
83	0.026246458292007446	0.12065570056438446	0.0262520220130682
84	0.02579377591609955	0.11955030262470245	0.025792833417654037
85	0.025503741577267647	0.11852575838565826	0.025507239624857903
86	0.025674834847450256	0.11897739768028259	0.025687647983431816
87	0.026171069592237473	0.12015725672245026	0.02615988440811634
88	0.025953087955713272	0.12012742459774017	0.02596128173172474
89	0.024803152307868004	0.1172836646437645	0.024794435128569603
90	0.02504127100110054	0.11751498281955719	0.025034014135599136
91	0.024585887789726257	0.11621961742639542	0.024575604125857353
92	0.02427053637802601	0.11574079841375351	0.024271337315440178
