Epoch	loss	mean_squared_error
1	0.12098397314548492	0.12089367210865021
2	0.04679695889353752	0.04681648686528206
3	0.04471152648329735	0.04470043256878853
4	0.04301544278860092	0.04302002117037773
5	0.04125400632619858	0.041264746338129044
6	0.04002818837761879	0.04002600535750389
7	0.039034321904182434	0.0390465073287487
8	0.03843316808342934	0.03842746838927269
9	0.03817553073167801	0.03818877786397934
10	0.037893686443567276	0.03789135068655014
11	0.03781899809837341	0.03780588507652283
12	0.036723922938108444	0.036733899265527725
13	0.03674173727631569	0.036735355854034424
14	0.03647541627287865	0.036456797271966934
15	0.03581511974334717	0.03580854460597038
16	0.03574076294898987	0.035758279263973236
17	0.035311054438352585	0.035316288471221924
18	0.0351378470659256	0.03513152152299881
19	0.03521338477730751	0.03521889075636864
20	0.03448755294084549	0.03450906649231911
21	0.03501377999782562	0.03501517325639725
22	0.03427010029554367	0.034273311495780945
23	0.034322433173656464	0.03430937975645065
24	0.03348471596837044	0.033496610820293427
25	0.03356090933084488	0.03355665132403374
26	0.033414192497730255	0.03340837359428406
27	0.03357943892478943	0.033583883196115494
28	0.03287005051970482	0.03286976367235184
29	0.03298681601881981	0.03299053758382797
30	0.032661598175764084	0.032648660242557526
31	0.03223500773310661	0.03221995756030083
32	0.031929921358823776	0.031916871666908264
33	0.03167371824383736	0.03167884796857834
34	0.03187735378742218	0.03189941868185997
35	0.03136318176984787	0.031349487602710724
36	0.03130730241537094	0.03131083771586418
37	0.031252045184373856	0.03124132752418518
38	0.031215619295835495	0.03123224526643753
39	0.030586935579776764	0.030575670301914215
40	0.030526043847203255	0.030545666813850403
41	0.03073050267994404	0.0307279322296381
42	0.03051719442009926	0.030514350160956383
43	0.030020656064152718	0.030015194788575172
44	0.030114512890577316	0.030126001685857773
45	0.030082331970334053	0.03007223829627037
46	0.02983410470187664	0.02983243763446808
47	0.029460720717906952	0.02945840172469616
48	0.029634755104780197	0.02962554059922695
49	0.029573064297437668	0.029572203755378723
50	0.028984328731894493	0.02898348681628704
51	0.029282135888934135	0.029297592118382454
52	0.0289295744150877	0.02895476669073105
53	0.028772031888365746	0.02878442406654358
54	0.028772035613656044	0.028772374615073204
55	0.02920696884393692	0.029219618067145348
56	0.028670284897089005	0.028660526499152184
57	0.02799661085009575	0.027984047308564186
58	0.028814638033509254	0.02881580777466297
59	0.027945032343268394	0.02794373221695423
60	0.027522189542651176	0.02752319723367691
61	0.028088295832276344	0.02809186652302742
62	0.027809888124465942	0.027800599113106728
63	0.027503348886966705	0.027492541819810867
64	0.02721618488430977	0.027219660580158234
65	0.027608562260866165	0.02760590985417366
66	0.027013659477233887	0.02701939269900322
67	0.02703419327735901	0.027026217430830002
68	0.0273829884827137	0.027376050129532814
69	0.026555657386779785	0.026562495157122612
70	0.02686789631843567	0.02688133902847767
71	0.026225410401821136	0.02623310498893261
72	0.02619348093867302	0.02618173509836197
73	0.0260623749345541	0.02606310322880745
74	0.026164179667830467	0.02616283670067787
75	0.025869032368063927	0.02587655745446682
76	0.025899561122059822	0.025911036878824234
77	0.025827523320913315	0.025832032784819603
78	0.02520417794585228	0.025214193388819695
79	0.02583838254213333	0.02583330310881138
80	0.02553543634712696	0.025522533804178238
81	0.024827230721712112	0.024837495759129524
82	0.024717677384614944	0.02471279725432396
83	0.025487251579761505	0.025475820526480675
84	0.024814648553729057	0.024809107184410095
85	0.02478545345366001	0.024773355573415756
86	0.024433845654129982	0.02443470060825348
87	0.024290211498737335	0.024283021688461304
88	0.02394779399037361	0.023944485932588577
89	0.024581806734204292	0.024574071168899536
90	0.023616401478648186	0.023621035739779472
91	0.023901237174868584	0.023900771513581276
92	0.02339388243854046	0.02339748665690422
93	0.023074690252542496	0.023067768663167953
94	0.02304474450647831	0.023047076538205147
95	0.023122038692235947	0.0231295358389616
96	0.022747298702597618	0.022749178111553192
97	0.022489145398139954	0.02248528227210045
98	0.02255432866513729	0.022552086040377617
99	0.022443968802690506	0.022432764992117882
100	0.021744564175605774	0.021740827709436417
