Epoch	loss	mean_squared_error	mean_absolute_error
1	0.13116909563541412	0.13102863729000092	0.2821752429008484
2	0.05604766309261322	0.05602456256747246	0.1909455806016922
3	0.051417313516139984	0.05138813704252243	0.1805795431137085
4	0.04915359988808632	0.049176864326000214	0.17537371814250946
5	0.04799879714846611	0.04800548776984215	0.1719643771648407
6	0.0476248562335968	0.047585081309080124	0.17191872000694275
7	0.04641147330403328	0.04640888050198555	0.16786152124404907
8	0.0455598458647728	0.04552997648715973	0.16602873802185059
9	0.044759444892406464	0.04472784698009491	0.1640569567680359
10	0.04443531855940819	0.04444972425699234	0.16326665878295898
11	0.043817296624183655	0.04376126825809479	0.16166865825653076
12	0.043307114392519	0.043348297476768494	0.1600865125656128
13	0.043769825249910355	0.04375401511788368	0.16144101321697235
14	0.04259292036294937	0.042578164488077164	0.1582808643579483
15	0.042493268847465515	0.042500268667936325	0.15809257328510284
16	0.041905682533979416	0.04189344495534897	0.15699684619903564
17	0.04196159541606903	0.0419282540678978	0.15697216987609863
18	0.04168200120329857	0.04173685610294342	0.1560700684785843
19	0.04101773723959923	0.04099203646183014	0.15537869930267334
20	0.04169228672981262	0.041676051914691925	0.155462846159935
21	0.041335709393024445	0.04134970158338547	0.15540273487567902
22	0.04091236740350723	0.04093242436647415	0.15472853183746338
23	0.03993139788508415	0.03989400342106819	0.15217365324497223
24	0.03990444913506508	0.03991081193089485	0.15189267694950104
25	0.040219955146312714	0.04022854194045067	0.15344631671905518
26	0.03919883817434311	0.03918924927711487	0.15035149455070496
27	0.03898370638489723	0.039009567350149155	0.150632843375206
28	0.03887765854597092	0.03895926848053932	0.15013167262077332
29	0.03916195407509804	0.0391547754406929	0.15129917860031128
30	0.03843336179852486	0.0383959598839283	0.14864887297153473
31	0.038207702338695526	0.038179121911525726	0.14824795722961426
32	0.03791356459259987	0.0379800982773304	0.14797057211399078
33	0.037263330072164536	0.03730252757668495	0.1471816748380661
34	0.038320112973451614	0.03833039104938507	0.14905790984630585
35	0.037755388766527176	0.03779325261712074	0.14745552837848663
36	0.037022899836301804	0.0370643213391304	0.1460193395614624
37	0.03680318593978882	0.0367862842977047	0.1462305784225464
38	0.03677999973297119	0.03682561218738556	0.14554698765277863
39	0.03608822077512741	0.036082230508327484	0.14403778314590454
40	0.03608379885554314	0.03605576604604721	0.14416539669036865
41	0.03570662811398506	0.03572329878807068	0.14280156791210175
42	0.03553349897265434	0.03554323688149452	0.14279906451702118
43	0.03584655001759529	0.03582104668021202	0.14414426684379578
44	0.03477754443883896	0.03475150465965271	0.14106179773807526
45	0.035662297159433365	0.03566725179553032	0.14348672330379486
46	0.03481914475560188	0.03481986001133919	0.1413307785987854
47	0.03412684425711632	0.03418106213212013	0.13989493250846863
48	0.034092169255018234	0.034056901931762695	0.13893958926200867
49	0.034754231572151184	0.03473161906003952	0.14115513861179352
50	0.034435562789440155	0.03440138325095177	0.14108560979366302
51	0.033504050225019455	0.03353644162416458	0.1385607123374939
52	0.03466179221868515	0.034672532230615616	0.1411755234003067
