name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
DVORANA TABOR,Gorkega ulica 48,False,False,20,11,9,OPEN,2024-04-30 13:48:03,46.549005,15.635014
DVORANA TABOR,Gorkega ulica 48,False,False,20,10,10,OPEN,2024-04-30 13:58:09,46.549005,15.635014
DVORANA TABOR,Gorkega ulica 48,False,False,20,11,9,OPEN,2024-05-02 08:44:25,46.549005,15.635014
DVORANA TABOR,Gorkega ulica 48,False,False,20,12,8,OPEN,2024-05-02 09:55:03,46.549005,15.635014
DVORANA TABOR,Gorkega ulica 48,False,False,20,14,6,OPEN,2024-05-02 10:35:59,46.549005,15.635014
DVORANA TABOR,Gorkega ulica 48,False,False,20,12,8,OPEN,2024-05-02 12:06:20,46.549005,15.635014
DVORANA TABOR,Gorkega ulica 48,False,False,20,12,8,OPEN,2024-05-02 12:16:25,46.549005,15.635014
DVORANA TABOR,Gorkega ulica 48,False,False,20,11,9,OPEN,2024-05-02 13:16:58,46.549005,15.635014
DVORANA TABOR,Gorkega ulica 48,False,False,20,6,14,OPEN,2024-05-03 08:44:20,46.549005,15.635014
