name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,8,12,OPEN,2024-04-30 13:48:39,46.558924,15.644443
POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,9,11,OPEN,2024-04-30 14:03:50,46.558924,15.644443
POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,19,1,OPEN,2024-05-02 08:44:15,46.558924,15.644443
POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,20,0,OPEN,2024-05-02 09:54:52,46.558924,15.644443
POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,19,1,OPEN,2024-05-02 10:35:12,46.558924,15.644443
POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,16,4,OPEN,2024-05-02 12:06:00,46.558924,15.644443
POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,16,4,OPEN,2024-05-02 12:16:04,46.558924,15.644443
POŠTA - SLOMŠKOV TRG,Slomškov trg 10,False,False,20,16,4,OPEN,2024-05-02 13:16:42,46.558924,15.644443
