date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-05-02T00:00,13.4,94,12.4,13.5,3,0.6,976.7
2024-05-02T01:00,13.2,95,12.4,13.4,18,0.1,975.8
2024-05-02T02:00,13.1,96,12.5,13.4,33,0.0,975.3
2024-05-02T03:00,12.7,98,12.4,12.8,48,0.0,974.9
2024-05-02T04:00,12.5,99,12.3,12.4,36,0.0,974.6
2024-05-02T05:00,13.0,98,12.7,12.8,25,0.0,974.4
2024-05-02T06:00,14.3,92,13.0,13.8,13,0.0,973.7
2024-05-02T07:00,15.6,83,12.8,14.5,20,0.0,974.3
2024-05-02T08:00,16.3,82,13.3,15.3,28,0.0,974.3
2024-05-02T09:00,18.3,63,11.2,17.1,35,0.0,975.3
2024-05-02T10:00,19.7,56,10.7,18.4,41,0.0,974.8
2024-05-02T11:00,20.7,49,9.6,19.8,46,0.0,974.3
2024-05-02T12:00,21.2,45,8.8,20.0,52,0.0,974.1
2024-05-02T13:00,20.4,51,10.0,19.7,44,0.0,974.0
2024-05-02T14:00,20.5,49,9.4,19.8,37,0.0,973.8
2024-05-02T15:00,20.7,47,9.0,18.8,29,0.0,973.5
2024-05-02T16:00,20.3,46,8.3,18.6,20,0.0,973.1
2024-05-02T17:00,19.0,51,8.6,17.6,12,0.0,973.1
2024-05-02T18:00,16.1,49,5.4,13.5,3,0.0,974.0
2024-05-02T19:00,14.9,58,6.7,13.4,2,0.0,974.2
2024-05-02T20:00,13.2,70,7.9,11.7,1,0.0,974.6
2024-05-02T21:00,12.7,75,8.4,12.0,0,0.0,974.1
2024-05-02T22:00,12.3,76,8.2,11.6,6,0.0,974.4
2024-05-02T23:00,11.3,74,6.8,9.9,13,0.0,974.1
2024-05-03T00:00,10.9,72,6.1,9.4,19,0.0,973.6
2024-05-03T01:00,11.2,71,6.1,9.5,22,0.0,973.6
2024-05-03T02:00,9.9,84,7.4,8.7,26,0.0,973.7
2024-05-03T03:00,10.1,85,7.7,9.1,29,0.0,973.9
2024-05-03T04:00,10.5,82,7.6,9.5,37,0.1,974.3
2024-05-03T05:00,11.1,83,8.4,10.6,44,0.1,974.7
2024-05-03T06:00,11.9,81,8.8,11.3,52,0.0,975.1
2024-05-03T07:00,12.9,80,9.6,12.6,66,0.0,975.4
2024-05-03T08:00,13.9,74,9.4,13.2,80,0.0,975.8
2024-05-03T09:00,13.6,73,8.8,12.1,94,0.1,976.4
2024-05-03T10:00,13.7,79,10.2,12.6,94,0.6,976.6
2024-05-03T11:00,14.5,78,10.7,12.9,94,0.4,976.5
2024-05-03T12:00,14.6,72,9.6,12.5,94,0.2,976.4
2024-05-03T13:00,13.9,75,9.6,11.9,95,0.9,976.5
2024-05-03T14:00,13.3,76,9.2,11.0,96,1.1,976.4
2024-05-03T15:00,12.9,78,9.2,10.8,97,1.3,976.6
2024-05-03T16:00,12.9,78,9.1,10.9,88,0.6,976.7
2024-05-03T17:00,13.0,77,9.1,11.1,80,0.6,977.1
2024-05-03T18:00,13.0,77,9.0,11.5,71,0.7,978.0
2024-05-03T19:00,12.3,81,9.2,10.6,66,1.2,978.6
2024-05-03T20:00,12.2,78,8.5,10.2,60,0.6,978.7
2024-05-03T21:00,12.1,77,8.2,10.2,55,0.6,978.9
2024-05-03T22:00,12.1,74,7.6,10.0,47,0.4,979.0
2024-05-03T23:00,12.2,73,7.5,9.8,40,0.4,979.0
2024-05-04T00:00,12.2,72,7.3,9.5,32,0.3,978.9
2024-05-04T01:00,12.3,70,7.0,9.8,34,0.1,979.0
2024-05-04T02:00,12.2,71,7.1,9.6,37,0.2,979.3
2024-05-04T03:00,12.1,72,7.2,9.7,39,0.4,979.7
2024-05-04T04:00,11.7,76,7.6,9.3,36,2.4,980.2
2024-05-04T05:00,11.8,76,7.7,9.3,32,0.6,980.8
2024-05-04T06:00,12.6,74,8.1,10.4,29,0.1,981.4
2024-05-04T07:00,14.1,71,8.9,12.3,25,0.0,981.8
2024-05-04T08:00,15.7,66,9.4,14.3,20,0.0,982.1
2024-05-04T09:00,17.5,61,9.9,16.8,16,0.0,982.3
2024-05-04T10:00,17.7,61,10.1,18.1,19,0.0,982.4
2024-05-04T11:00,18.5,59,10.3,19.3,23,0.0,982.6
2024-05-04T12:00,19.0,58,10.6,19.5,26,0.0,982.5
2024-05-04T13:00,19.8,57,11.0,20.8,30,0.0,982.3
2024-05-04T14:00,20.2,56,11.1,20.7,35,0.0,982.0
2024-05-04T15:00,20.2,55,10.9,19.5,39,0.0,981.7
2024-05-04T16:00,19.5,58,11.0,18.7,36,0.0,981.4
2024-05-04T17:00,18.3,67,12.1,18.2,32,0.0,981.3
2024-05-04T18:00,16.3,74,11.6,16.2,29,0.0,981.3
2024-05-04T19:00,14.5,79,10.9,14.2,20,0.0,981.7
2024-05-04T20:00,13.3,82,10.3,12.9,12,0.0,981.7
2024-05-04T21:00,11.9,86,9.6,11.2,3,0.0,981.7
2024-05-04T22:00,10.9,88,9.0,10.1,2,0.0,981.6
2024-05-04T23:00,10.1,88,8.2,9.1,1,0.0,981.5
2024-05-05T00:00,9.6,88,7.7,8.5,0,0.0,981.3
2024-05-05T01:00,9.2,88,7.3,7.9,1,0.0,981.3
2024-05-05T02:00,8.7,89,7.0,7.4,2,0.0,981.2
2024-05-05T03:00,8.4,88,6.6,7.1,3,0.0,980.9
2024-05-05T04:00,8.8,84,6.2,7.6,3,0.0,980.8
2024-05-05T05:00,9.9,80,6.6,9.0,3,0.0,980.9
2024-05-05T06:00,12.3,88,10.4,12.3,3,0.0,980.8
2024-05-05T07:00,14.9,79,11.3,14.9,5,0.0,981.0
2024-05-05T08:00,17.2,76,13.0,17.0,8,0.0,980.8
2024-05-05T09:00,18.7,66,12.3,18.2,10,0.0,980.3
2024-05-05T10:00,19.5,63,12.3,18.2,21,0.0,979.8
