date,temperature,dew_point,apparent_temperature,surface_pressure,available_bike_stands,lagged_available_bike_stands,rolling_mean_bike_stands,rolling_std_bike_stands,diff_available_bike_stands,temperature_diff
2023-06-25 19:07:30+00:00,0.8540453577694298,-0.8670465911018462,0.538224537920327,-0.06623013249783023,0.33862123290687696,0.5792722845695032,0.5793183281652824,0.049508517898651794,7.326018753436665e-06,0.3158208198491028
2023-06-25 19:33:48+00:00,0.6956556575122067,-1.3468085989421559,0.305994123132659,-0.02672420924566024,0.2938031686068771,0.33862123290687696,0.5793183281652824,0.049508517898651794,-0.04481806429999985,0.3896615343795477
2023-06-25 19:45:44+00:00,0.6956556575122067,-1.3468085989421559,0.305994123132659,-0.02672420924566024,0.24947353504600261,0.2938031686068771,0.5793183281652824,0.049508517898651794,-0.04432963356087449,0.3896615343795477
2023-06-25 19:55:29+00:00,0.6956556575122067,-1.3468085989421559,0.305994123132659,-0.02672420924566024,0.33862123290687696,0.24947353504600261,0.5793183281652824,0.049508517898651794,0.08914769786087434,0.3896615343795477
2023-06-25 20:02:16+00:00,0.6956556575122067,-1.3468085989421559,0.305994123132659,-0.02672420924566024,0.5219082771000162,0.33862123290687696,0.5793183281652824,0.049508517898651794,0.18328704419313924,0.3896615343795477
2023-06-25 20:12:20+00:00,0.6956556575122067,-1.3468085989421559,0.305994123132659,-0.02672420924566024,0.5219082771000162,0.5219082771000162,0.5793183281652824,0.049508517898651794,0.0,0.3896615343795477
2023-06-25 20:25:41+00:00,0.6956556575122067,-1.3468085989421559,0.305994123132659,-0.02672420924566024,0.33862123290687696,0.5219082771000162,0.3718509937962204,0.10755985387856351,-0.18328704419313924,0.3896615343795477
2023-06-25 20:34:07+00:00,0.19813089819145008,-0.9644142503156912,0.033793003819813414,-0.046510280225548546,0.20569601629803852,0.33862123290687696,0.35286167713781497,0.1247623297225927,-0.13292521660883844,0.16433789437163665
2023-06-25 20:45:23+00:00,0.19813089819145008,-0.9644142503156912,0.033793003819813414,-0.046510280225548546,0.2938031686068771,0.20569601629803852,0.3528616771378149,0.1247623297225927,0.08810715230883859,0.16433789437163665
2023-06-25 20:52:46+00:00,0.19813089819145008,-0.9644142503156912,0.033793003819813414,-0.046510280225548546,0.2938031686068771,0.2938031686068771,0.3591944819322256,0.11966056304926792,0.0,0.16433789437163665
2023-06-25 21:02:51+00:00,0.19813089819145008,-0.9644142503156912,0.033793003819813414,-0.046510280225548546,0.2938031686068771,0.2938031686068771,0.35279190131793986,0.12211860089608574,0.0,0.16433789437163665
2023-06-25 21:12:57+00:00,0.19813089819145008,-0.9644142503156912,0.033793003819813414,-0.046510280225548546,0.2938031686068771,0.2938031686068771,0.32020545724749144,0.09740286082212231,0.0,0.16433789437163665
2023-06-25 21:23:15+00:00,0.19813089819145008,-0.9644142503156912,0.033793003819813414,-0.046510280225548546,0.24947353504600261,0.2938031686068771,0.28128620838263235,0.04211081716619048,-0.04432963356087449,0.16433789437163665
2023-06-25 21:35:28+00:00,-0.015267910853304234,-1.0289399062924205,-0.19318595823861665,0.0130474519464048,0.20569601629803852,0.24947353504600261,0.2622968917242269,0.04191725700023724,-0.043777518747964095,0.17791804738531242
2023-06-25 21:44:18+00:00,-0.015267910853304234,-1.0289399062924205,-0.19318595823861665,0.0130474519464048,0.0,0.20569601629803852,0.23291174653879282,0.10808479049087669,-0.20569601629803852,0.17791804738531242
2023-06-25 21:53:21+00:00,-0.015267910853304234,-1.0289399062924205,-0.19318595823861665,0.0130474519464048,0.03845349623065191,0.0,0.19643322191361776,0.12575465407713793,0.03845349623065191,0.17791804738531242
2023-06-25 22:03:26+00:00,-0.015267910853304234,-1.0289399062924205,-0.19318595823861665,0.0130474519464048,0.03845349623065191,0.03845349623065191,0.15995469728844272,0.12977371718262407,0.0,0.17791804738531242
2023-06-25 22:14:17+00:00,-0.015267910853304234,-1.0289399062924205,-0.19318595823861665,0.0130474519464048,0.07870338536376155,0.03845349623065191,0.12922615682514052,0.1177029920679877,0.04024988913310964,0.17791804738531242
2023-06-25 22:23:43+00:00,-0.015267910853304234,-1.0289399062924205,-0.19318595823861665,0.0130474519464048,0.0,0.07870338536376155,0.08725427559558664,0.10033801303070217,-0.07870338536376155,0.17791804738531242
2023-06-25 22:33:48+00:00,-0.46360811980505745,-0.6372074084083762,-0.5353202840199166,0.13397424828191204,0.0,0.0,0.051615199160443416,0.07395214132883,0.0,0.07171216421485915
2023-06-25 22:43:53+00:00,-0.46360811980505745,-0.6372074084083762,-0.5353202840199166,0.13397424828191204,0.0,0.0,0.02223005397500934,0.030801348764611505,0.0,0.07171216421485915
2023-06-25 22:53:58+00:00,-0.46360811980505034,-0.6372074084083762,-0.5353202840199166,0.13397424828191204,0.0,0.0,0.02223005397500934,0.030801348764611505,0.0,0.07171216421486626
2023-06-25 23:04:05+00:00,-0.46360811980505745,-0.6372074084083762,-0.5353202840199166,0.13397424828191204,0.03845349623065191,0.0,0.02223005397500934,0.030801348764611505,0.03845349623065191,0.07171216421485915
2023-06-25 23:15:06+00:00,-0.46360811980505745,-0.6372074084083762,-0.5353202840199166,0.13397424828191204,0.0,0.03845349623065191,0.016736697370630493,0.030854699717506453,-0.03845349623065191,0.07171216421485915
2023-06-25 23:24:15+00:00,-0.46360811980505745,-0.6372074084083762,-0.5353202840199166,0.13397424828191204,0.0,0.0,0.005493356604378844,0.014534055438180213,0.0,0.07171216421485915
